feature_0,feature_1,feature_2,feature_3,scaled_target
-0.12432493,-1.2317423,-0.2630208,1.7901474,-0.14660333
-0.22847763,-0.93842554,-0.12753505,2.0390384,-0.069464885
-0.28941682,-0.6143506,0.055821538,2.4062996,-0.069464885
-0.3953117,-0.39522684,0.052902758,2.5345938,-0.4165879
-0.4180018,-0.36323303,-0.03316909,2.8407333,-0.45515713
-0.44139642,-0.34491846,-0.14245811,2.8587773,-0.37801868
-0.39913282,-0.37273645,-0.19896731,2.9890559,-0.262311
-0.3767973,-0.44146425,-0.17139828,2.908645,-0.10803411
-0.40846568,-0.43400604,-0.18977362,3.0586016,-0.37801868
-0.3769207,-0.47666264,-0.27325493,3.2607949,-0.30088022
-0.39625612,-0.4894948,-0.24395496,3.4957812,-0.03089566
-0.3947555,-0.4811895,-0.19147861,3.7953765,-0.30088022
-0.4330839,-0.45427215,-0.06978667,3.9399364,-0.45515713
-0.48350492,-0.41856462,0.23922157,3.8421872,-0.7251417
-0.47822154,-0.45215863,0.33099842,4.090117,-0.5708648
-0.45045942,-0.48741084,0.24893194,4.2274485,-0.5708648
-0.41298854,-0.61344725,0.04233575,4.0026593,-0.4165879
-0.3682462,-0.81265944,0.061501145,3.395675,-0.45515713
-0.25814706,-1.0380788,-0.13115814,2.841308,-0.18517256
-0.16810724,-1.3325678,-0.3942173,2.167497,0.123381235
0.026637852,-1.6367148,-0.43790942,1.9725305,0.7019196
-0.23271644,-1.6808226,-1.295292,1.019683,0.31622735
-0.17882171,-1.5339936,-0.98495287,0.96340764,0.27765813
-0.2920071,-1.2409953,-0.98000693,0.76345956,0.084812015
-0.27084428,-0.9740736,-0.4418722,1.0768739,0.27765813
-0.2954514,-0.7896111,-0.21325582,1.3836719,-0.14660333
-0.2929325,-0.61066407,-0.038052186,1.644613,0.04624279
-0.38156518,-0.37496817,0.03106989,1.8307621,-0.30088022
-0.36127144,-0.36317372,0.14628339,1.9530569,-0.33944947
-0.36107633,-0.29939178,0.18738875,2.1609724,0.007673565
-0.3253911,-0.33299106,0.046161324,2.1178668,0.084812015
-0.34115878,-0.34723815,0.10512787,2.298392,0.084812015
-0.31367937,-0.4264701,0.07084465,2.609661,-0.14660333
-0.33252037,-0.4431224,0.10512793,2.8234193,-0.4165879
-0.30938536,-0.56276315,0.08120078,2.9309103,0.04624279
-0.31722724,-0.53288794,0.1471492,3.1815355,-0.22374178
-0.3390494,-0.5009788,0.17993593,3.2373931,-0.069464885
-0.40421677,-0.45795184,0.31903082,3.2084973,-0.6480032
-0.440548,-0.447442,0.27982485,3.1902587,-0.609434
-0.36668298,-0.4685555,0.19289345,3.2619488,-0.30088022
-0.27166998,-0.87478966,-0.4958642,2.7543676,-0.14660333
-0.2696841,-1.054516,-0.5284299,2.0361915,-0.18517256
-0.21025953,-1.5065995,-1.1976501,1.2343587,0.31622735
-0.0070463717,-1.6673552,-1.029866,1.1482133,0.04624279
-0.0777182,-1.7965281,-1.3847767,0.5682328,0.27765813
-0.07588336,-1.6552067,-1.2527237,0.5159464,0.31622735
-0.1362016,-1.5464556,-1.3696039,0.31941214,0.007673565
-0.26666176,-1.2815949,-1.4522176,0.10329595,0.3547966
-0.06171024,-1.1600093,-0.47865024,0.9593922,0.04624279
-0.13844882,-1.009317,-0.47667193,1.0722209,-0.03089566
-0.17790854,-0.78955626,-0.25556144,1.3955603,0.43193504
-0.25454977,-0.6205759,-0.21661863,1.4625257,-0.4165879
-0.30210444,-0.46931535,-0.0077641606,1.6309568,-0.37801868
-0.30076063,-0.42445105,-0.07349113,1.5908123,-0.4165879
-0.27320132,-0.4209118,0.03944519,1.9253981,-0.10803411
-0.29385367,-0.42675346,-0.13876963,2.1310365,-0.03089566
-0.30918688,-0.5084425,0.036433876,2.4299476,0.04624279
-0.29417586,-0.5463478,-0.043913484,2.6371462,-0.5322956
-0.3050091,-0.61576486,-0.003662467,2.8434472,-0.37801868
-0.3030923,-0.635405,0.021833599,2.9976678,-0.262311
-0.3714939,-0.48441052,0.14847273,3.1803615,-0.4165879
-0.39442635,-0.45162177,0.17438018,3.1017232,-0.37801868
-0.42372426,-0.42619616,0.24431223,2.9347813,-0.609434
-0.38809276,-0.59247446,-0.12799233,2.602297,-0.49372634
-0.29875657,-0.93785006,-0.5685066,2.2017052,-0.33944947
-0.119135484,-1.2839643,-0.97240365,1.9181969,-0.262311
0.00197801,-1.6325548,-1.1754726,1.2120192,0.20051968
0.0719983,-1.8578888,-1.2252237,0.72864044,0.20051968
-0.041024297,-2.1511838,-1.9575504,0.05205515,0.7019196
-0.3520384,-1.7917668,-2.6412444,-0.24651667,0.47050425
-0.3717694,-1.5379134,-2.456409,-0.27224228,0.47050425
-0.33555582,-1.282012,-2.0095887,-0.2819179,0.47050425
-0.22230624,-1.1469072,-1.5647842,-0.031629115,0.23908891
-0.09745309,-1.0268809,-1.0734019,0.6346991,0.47050425
-0.13483594,-0.91015774,-1.046754,0.7844076,0.23908891
-0.20284805,-0.7563576,-0.95075154,1.0301169,0.27765813
-0.22930448,-0.6678551,-0.5183718,1.1915851,-0.22374178
-0.22373486,-0.6948242,-0.32607132,1.1450554,-0.10803411
-0.21397148,-0.6889828,-0.10871169,1.1575097,0.3933658
-0.19986092,-0.6698784,-0.001818955,1.2621527,0.16195047
-0.20549259,-0.67195034,0.13893342,1.6695592,-0.18517256
-0.21211678,-0.76276827,0.06700516,1.8334938,0.20051968
-0.241537,-0.76654166,0.04926145,2.091194,-0.18517256
-0.26576936,-0.77097905,0.008058727,2.1509597,-0.33944947
-0.31057695,-0.6087585,0.024791896,2.3577774,0.04624279
-0.37482327,-0.55778146,-0.038148224,2.3227046,-0.45515713
-0.36977935,-0.57823014,-0.3900057,2.3112705,-0.262311
-0.35715303,-0.9569501,-0.7959531,1.52203,-0.18517256
-0.24604994,-1.1320157,-1.0095158,1.2182071,0.27765813
-0.06682277,-1.5312202,-1.4352683,1.0370033,0.47050425
0.04071057,-1.7795084,-1.5525049,0.6535994,0.16195047
0.10392198,-2.1176302,-1.6526408,0.11403528,0.47050425
0.20529807,-2.4046798,-1.8429784,-0.08538589,0.7404888
